PUR,INDIV,SING
649.0,757.0,557.0
685.0,765.0,582.0
683.0,758.0,589.0
693.0,761.0,593.0
684.0,736.0,585.0
706.0,699.0,613.0
695.0,720.0,596.0
727.0,747.0,627.0
683.0,750.0,578.0
686.0,728.0,595.0
721.0,774.0,621.0
659.0,747.0,560.0
647.0,782.0,549.0
689.0,747.0,593.0
675.0,771.0,574.0
658.0,791.0,566.0
710.0,712.0,615.0
693.0,725.0,586.0
644.0,756.0,548.0
636.0,718.0,555.0
642.0,701.0,556.0
646.0,776.0,566.0
650.0,759.0,565.0
679.0,693.0,587.0
667.0,698.0,565.0
670.0,701.0,569.0
600.0,721.0,505.0
676.0,714.0,572.0
667.0,752.0,571.0
675.0,727.0,582.0
670.0,729.0,578.0
653.0,666.0,565.0
628.0,731.0,549.0
646.0,729.0,555.0
663.0,746.0,561.0
649.0,750.0,558.0
654.0,714.0,557.0
661.0,706.0,570.0
660.0,721.0,572.0
622.0,750.0,529.0
646.0,738.0,545.0
663.0,730.0,570.0
650.0,721.0,562.0
638.0,732.0,546.0
639.0,682.0,543.0
638.0,706.0,547.0
697.0,724.0,589.0
648.0,732.0,557.0
652.0,705.0,566.0
701.0,713.0,605.0
661.0,683.0,569.0
627.0,728.0,526.0
629.0,709.0,528.0
657.0,721.0,557.0
663.0,771.0,566.0
687.0,728.0,591.0
655.0,693.0,552.0
681.0,693.0,592.0
704.0,719.0,593.0
691.0,738.0,598.0
663.0,782.0,564.0
668.0,724.0,566.0
711.0,766.0,595.0
687.0,742.0,569.0
703.0,748.0,605.0
666.0,733.0,559.0
667.0,742.0,570.0
662.0,780.0,564.0
656.0,736.0,549.0
675.0,781.0,565.0
700.0,722.0,590.0
695.0,760.0,587.0
683.0,743.0,574.0
683.0,708.0,580.0
711.0,728.0,594.0
698.0,760.0,576.0
669.0,779.0,564.0
664.0,738.0,577.0
686.0,734.0,587.0
659.0,743.0,558.0
701.0,750.0,599.0
691.0,743.0,601.0
669.0,741.0,570.0
669.0,769.0,568.0
684.0,738.0,582.0
680.0,788.0,577.0
697.0,761.0,603.0
719.0,742.0,612.0
707.0,754.0,594.0
690.0,774.0,592.0
692.0,754.0,585.0
707.0,776.0,600.0
681.0,794.0,573.0
671.0,759.0,573.0
678.0,774.0,583.0
645.0,763.0,551.0
739.0,790.0,632.0
701.0,753.0,600.0
675.0,747.0,574.0
701.0,766.0,592.0
723.0,729.0,609.0
696.0,808.0,598.0
697.0,780.0,589.0
695.0,766.0,585.0
729.0,787.0,629.0
701.0,798.0,592.0
675.0,791.0,560.0
676.0,770.0,564.0
686.0,772.0,581.0
668.0,814.0,571.0
699.0,789.0,591.0
690.0,731.0,597.0
675.0,750.0,574.0
702.0,762.0,582.0
698.0,760.0,590.0
732.0,797.0,606.0
748.0,812.0,638.0
692.0,752.0,601.0
709.0,783.0,606.0
712.0,788.0,618.0
713.0,812.0,615.0
718.0,842.0,606.0
706.0,771.0,613.0
733.0,789.0,625.0
712.0,824.0,615.0
690.0,822.0,582.0
672.0,797.0,578.0
685.0,791.0,594.0
708.0,818.0,610.0
708.0,822.0,592.0
738.0,787.0,612.0
710.0,777.0,600.0
680.0,785.0,579.0
733.0,819.0,630.0
748.0,802.0,642.0
728.0,827.0,622.0
755.0,813.0,635.0
660.0,782.0,549.0
697.0,815.0,592.0
708.0,827.0,599.0
709.0,819.0,599.0
693.0,845.0,582.0
742.0,751.0,625.0
730.0,786.0,626.0
715.0,783.0,616.0
736.0,792.0,622.0
746.0,775.0,632.0
765.0,814.0,639.0
728.0,824.0,625.0
751.0,799.0,651.0
733.0,816.0,611.0
761.0,831.0,638.0
786.0,855.0,662.0
790.0,810.0,671.0
742.0,834.0,634.0
739.0,799.0,630.0
769.0,819.0,648.0
764.0,850.0,644.0
751.0,874.0,633.0
748.0,832.0,638.0
747.0,830.0,639.0
772.0,838.0,642.0
755.0,859.0,642.0
739.0,835.0,622.0
777.0,837.0,667.0
797.0,842.0,684.0
804.0,841.0,680.0
746.0,858.0,626.0
788.0,834.0,661.0
779.0,865.0,652.0
838.0,874.0,702.0
806.0,870.0,672.0
778.0,827.0,651.0
756.0,853.0,625.0
776.0,833.0,646.0
774.0,891.0,650.0
763.0,852.0,648.0
738.0,855.0,620.0
774.0,827.0,657.0
757.0,838.0,638.0
774.0,850.0,652.0
747.0,853.0,631.0
769.0,825.0,645.0
743.0,862.0,629.0
736.0,841.0,627.0
765.0,853.0,656.0
782.0,812.0,663.0
800.0,836.0,661.0
770.0,814.0,636.0
768.0,807.0,648.0
760.0,835.0,643.0
724.0,849.0,613.0
729.0,836.0,606.0
761.0,807.0,639.0
769.0,829.0,647.0
720.0,816.0,596.0
764.0,811.0,627.0
794.0,798.0,663.0
767.0,839.0,648.0
766.0,824.0,632.0
751.0,790.0,609.0
739.0,817.0,606.0
770.0,843.0,650.0
736.0,843.0,626.0
716.0,827.0,588.0
718.0,786.0,589.0
699.0,782.0,568.0
710.0,812.0,584.0
694.0,785.0,588.0
691.0,757.0,569.0
689.0,765.0,561.0
659.0,746.0,550.0
634.0,751.0,515.0
628.0,746.0,504.0
598.0,724.0,463.0
569.0,720.0,446.0
539.0,703.0,431.0
548.0,685.0,431.0
565.0,648.0,447.0
552.0,607.0,432.0
555.0,586.0,444.0
542.0,574.0,416.0
522.0,567.0,394.0
512.0,585.0,393.0
488.0,576.0,378.0
515.0,590.0,406.0
471.0,553.0,360.0
491.0,520.0,370.0
500.0,518.0,386.0
523.0,499.0,398.0
469.0,535.0,359.0
479.0,485.0,375.0
487.0,483.0,379.0
494.0,501.0,376.0
465.0,533.0,346.0
487.0,500.0,383.0
471.0,494.0,359.0
479.0,506.0,358.0
463.0,498.0,350.0
479.0,467.0,363.0
486.0,506.0,374.0
470.0,482.0,366.0
479.0,472.0,372.0
454.0,478.0,343.0
471.0,502.0,356.0
446.0,507.0,332.0
435.0,505.0,320.0
441.0,496.0,326.0
426.0,476.0,323.0
456.0,478.0,349.0
443.0,454.0,332.0
468.0,440.0,343.0
434.0,458.0,328.0
431.0,446.0,332.0
432.0,491.0,324.0
484.0,474.0,365.0
475.0,482.0,367.0
486.0,458.0,370.0
448.0,446.0,342.0
445.0,453.0,351.0
432.0,491.0,328.0
431.0,497.0,331.0
443.0,488.0,338.0
